Chromosome	WindowPosition	Coverage
Chr01	500000	0.000458
Chr01	750000	0.000359
Chr01	1000000	0.000412
Chr01	1250000	0.000412
Chr01	1500000	0.000412
Chr01	1750000	5.3e-05
Chr01	2000000	0
Chr01	2250000	5.6e-05
Chr01	2500000	5.6e-05
Chr01	2750000	0.00028
Chr01	3000000	0.00028
Chr01	3250000	0.000224
Chr01	3500000	0.000348
Chr01	3750000	0.000124
Chr01	4000000	0.000124
Chr01	4250000	0.000124
Chr01	4500000	0
Chr01	4750000	0
Chr01	5000000	0
Chr01	5250000	0
Chr01	5500000	0
Chr01	5750000	0
Chr01	6000000	0
Chr01	6250000	0
Chr01	6500000	0
Chr01	6750000	0
Chr01	7000000	0
Chr01	7250000	0
Chr01	7500000	0
Chr01	7750000	0
Chr01	8000000	0
Chr01	8250000	0
Chr01	8500000	0
Chr01	8750000	0.000156
Chr01	9000000	0.000156
Chr01	9250000	0.000156
Chr01	9500000	0.000156
Chr01	9750000	0
Chr01	10000000	0
Chr01	10250000	4.8e-05
Chr01	10500000	4.8e-05
Chr01	10750000	4.8e-05
Chr01	11000000	4.8e-05
Chr01	11250000	0.000119
Chr01	11500000	0.000119
Chr01	11750000	0.000119
Chr01	12000000	0.000119
Chr01	12250000	0
Chr01	12500000	0
Chr01	12750000	0
Chr01	13000000	0
Chr01	13250000	0
Chr01	13500000	0
Chr01	13750000	0
Chr01	14000000	0
Chr01	14250000	0
Chr01	14500000	0
Chr01	14750000	0
Chr01	15000000	0
Chr01	15250000	0
Chr01	15500000	0
Chr01	15750000	0.000171
Chr01	16000000	0.000171
Chr01	16250000	0.000171
Chr01	16500000	0.000171
Chr01	16750000	0
Chr01	17000000	0
Chr01	17250000	6.4e-05
Chr01	17500000	6.4e-05
Chr01	17750000	0.000335
Chr01	18000000	0.000335
Chr01	18250000	0.000271
Chr01	18500000	0.000271
Chr01	18750000	3.8e-05
Chr01	19000000	3.8e-05
Chr01	19250000	0.00011
Chr01	19500000	0.00011
Chr01	19750000	0.000207
Chr01	20000000	0.000207
Chr01	20250000	0.000135
Chr01	20500000	0.000135
Chr01	20750000	0
Chr01	21000000	0
Chr01	21250000	0
Chr01	21500000	0
Chr01	21750000	0.00143
Chr01	22000000	0.001716
Chr01	22250000	0.001716
Chr01	22500000	0.001716
Chr01	22750000	0.000286
Chr01	23000000	0
Chr01	23250000	0
Chr01	23500000	0
Chr01	23750000	0.000267
Chr01	24000000	0.000267
Chr01	24250000	0.000267
Chr01	24500000	0.000267
Chr01	24750000	0
Chr01	25000000	0
Chr01	25250000	0
Chr01	25500000	0
Chr01	25750000	0
Chr01	26000000	0
Chr01	26250000	0
Chr01	26500000	0
Chr01	26750000	0
Chr01	27000000	0
Chr01	27250000	0
Chr01	27500000	0
Chr01	27750000	0
Chr01	28000000	0
Chr01	28250000	0
Chr01	28500000	8.3e-05
Chr01	28750000	8.3e-05
Chr01	29000000	8.3e-05
Chr01	29250000	8.3e-05
Chr01	29500000	0
Chr01	29750000	0.000107
Chr01	30000000	0.000193
Chr01	30250000	0.000193
Chr01	30500000	0.000193
Chr01	30750000	8.6e-05
Chr01	31000000	0
Chr01	31250000	0
Chr01	31500000	0
Chr01	31750000	0
Chr01	32000000	0
Chr01	32250000	0.000128
