Chromosome	WindowPosition	Genes_per_kb
Chr01	1000000	0.0625
Chr01	1500000	0.0525
Chr01	2000000	0.059
Chr01	2500000	0.066
Chr01	3000000	0.065
Chr01	3500000	0.0605
Chr01	4000000	0.055
Chr01	4500000	0.0395
Chr01	5000000	0.044
Chr01	5500000	0.041
Chr01	6000000	0.045
Chr01	6500000	0.0455
Chr01	7000000	0.044
Chr01	7500000	0.0465
Chr01	8000000	0.0435
Chr01	8500000	0.043
Chr01	9000000	0.0425
Chr01	9500000	0.0425
Chr01	10000000	0.0475
Chr01	10500000	0.047
Chr01	11000000	0.049
Chr01	11500000	0.0505
Chr01	12000000	0.049
Chr01	12500000	0.051
Chr01	13000000	0.0595
Chr01	13500000	0.0655
Chr01	14000000	0.068
Chr01	14500000	0.07
Chr01	15000000	0.0625
Chr01	15500000	0.06
Chr01	16000000	0.0585
Chr01	16500000	0.0615
Chr01	17000000	0.058
Chr01	17500000	0.0545
Chr01	18000000	0.0565
Chr01	18500000	0.055
Chr01	19000000	0.053
Chr01	19500000	0.0545
Chr01	20000000	0.052
Chr01	20500000	0.043
Chr01	21000000	0.052
Chr01	21500000	0.07
Chr01	22000000	0.062
Chr01	22500000	0.0665
Chr01	23000000	0.056
Chr01	23500000	0.0325
Chr01	24000000	0.032
Chr01	24500000	0.0315
Chr01	25000000	0.034
Chr01	25500000	0.036
Chr01	26000000	0.0395
Chr01	26500000	0.034
Chr01	27000000	0.04
Chr01	27500000	0.042
Chr01	28000000	0.0405
Chr01	28500000	0.043
Chr01	29000000	0.0415
Chr01	29500000	0.0355
Chr01	30000000	0.0385
Chr01	30500000	0.037
Chr01	31000000	0.0315
Chr01	31500000	0.0385
Chr01	32000000	0.0415
Chr01	32500000	0.041
Chr01	33000000	0.039
Chr01	33500000	0.032
Chr01	34000000	0.025
Chr01	34500000	0.025
Chr01	35000000	0.023
Chr01	35500000	0.022
Chr01	36000000	0.0155
Chr01	36500000	0.013
Chr01	37000000	0.0185
Chr01	37500000	0.0225
Chr01	38000000	0.0255
Chr01	38500000	0.027
Chr01	39000000	0.027
Chr01	39500000	0.0215
Chr01	40000000	0.0275
Chr01	40500000	0.0355
Chr01	41000000	0.032
Chr01	41500000	0.039
Chr01	42000000	0.0375
Chr01	42500000	0.0325
Chr01	43000000	0.034
Chr01	43500000	0.034
Chr01	44000000	0.035
Chr01	44500000	0.0305
Chr01	45000000	0.037
Chr01	45500000	0.0425
Chr01	46000000	0.0425
Chr01	46500000	0.045
Chr01	47000000	0.043
Chr01	47500000	0.038
Chr01	48000000	0.04
Chr01	48500000	0.0455
Chr01	49000000	0.044
Chr01	49500000	0.04
Chr01	50000000	0.038
Chr01	50500000	0.0385
Chr01	51000000	0.0405
Chr01	51500000	0.044
Chr01	52000000	0.051
Chr01	52500000	0.053
Chr01	53000000	0.0525
Chr01	53500000	0.067
Chr01	54000000	0.0615
Chr01	54500000	0.0635
Chr01	55000000	0.0715
Chr01	55500000	0.069
Chr01	56000000	0.0775
Chr01	56500000	0.0735
Chr01	57000000	0.07
Chr01	57500000	0.067
Chr01	58000000	0.0645
Chr01	58500000	0.071
Chr01	59000000	0.078
Chr01	59500000	0.083
Chr01	60000000	0.0835
Chr01	60500000	0.08
Chr01	61000000	0.0765
Chr01	61500000	0.0765
Chr01	62000000	0.0745
Chr01	62500000	0.0785
Chr01	63000000	0.0825
Chr01	63500000	0.0775
Chr01	64000000	0.082
Chr01	64500000	0.079
Chr01	65000000	0.0715
Chr01	65500000	0.0765
Chr01	66000000	0.066
Chr01	66500000	0.0545
Chr01	67000000	0.0435
Chr01	67500000	0.0245
Chr01	68000000	0.021
Chr01	68500000	0.022
Chr01	69000000	0.027
Chr01	69500000	0.032
Chr01	70000000	0.0415
