SeqName	SeqLength	HitStart	HitEnd	HitLength	PercentID	E-value
Chr01	101369167	59093923	59094446	524	93.92789374	0
Chr01	101369167	64933065	64933587	523	92.9389313	0
Chr01	101369167	64933065	64933587	523	92.9389313	0
Chr01	101369167	86138063	86138426	364	98.35164835	2.00E-176
Chr01	101369167	92578542	92578906	365	94.56521739	6.00E-157
Chr01	101369167	1115089	1115447	359	90.07832898	2.00E-145
Chr01	101369167	91103092	91103422	331	93.69369369	9.00E-136
Chr01	101369167	48944711	48944982	272	98.16176471	5.00E-127
Chr01	101369167	90554906	90555310	405	79.05882353	6.00E-107
Chr01	101369167	24024381	24024647	267	91.01123596	9.00E-98
Chr01	101369167	24024381	24024647	267	91.01123596	9.00E-98
Chr01	101369167	48944545	48944723	179	97.76536313	9.00E-79
Chr01	101369167	80680668	80680896	229	87.33624454	1.00E-71
Chr01	101369167	59094448	59094620	173	91.90751445	6.00E-62
Chr01	101369167	86233450	86233714	265	79.9270073	3.00E-60
Chr01	101369167	18133191	18133461	271	78.64768683	4.00E-58
Chr01	101369167	65131942	65132093	152	94.77124183	5.00E-57
Chr01	101369167	97570010	97570226	217	83.55555556	6.00E-56
Chr01	101369167	97570010	97570226	217	83.55555556	6.00E-56
Chr01	101369167	79872737	79872977	241	79.92277992	9.00E-54
Chr01	101369167	100726211	100726344	134	96.2962963	4.00E-52
Chr01	101369167	56228193	56228313	121	98.34710744	6.00E-50
Chr01	101369167	16180997	16181167	171	87.86127168	2.00E-49
Chr01	101369167	16180997	16181167	171	87.86127168	2.00E-49
Chr01	101369167	63455730	63455964	235	77.01149425	7.00E-49
Chr01	101369167	63455730	63455964	235	77.01149425	7.00E-49
Chr01	101369167	96597794	96598003	210	81.9047619	7.00E-49
Chr01	101369167	96597794	96598003	210	81.9047619	7.00E-49
Chr01	101369167	95285260	95285376	117	97.45762712	1.00E-45
Chr01	101369167	95285260	95285376	117	97.45762712	1.00E-45
Chr01	101369167	30091199	30091305	107	100	4.00E-45
Chr01	101369167	80439115	80439246	132	88.57142857	8.00E-42
Chr01	101369167	80439115	80439246	132	88.57142857	8.00E-42
Chr01	101369167	84129101	84129233	133	87.94326241	3.00E-41
Chr01	101369167	84129101	84129233	133	87.94326241	3.00E-41
Chr01	101369167	57591397	57591531	135	87.59124088	5.00E-38
