Chromosome	WindowPosition	Coverage
Chr01	500000	0.003912
Chr01	750000	0.002042
Chr01	1000000	0.00185
Chr01	1250000	0.000992
Chr01	1500000	0.000763
Chr01	1750000	0.00027
Chr01	2000000	0.00027
Chr01	2250000	0.001107
Chr01	2500000	0.001291
Chr01	2750000	0.001119
Chr01	3000000	0.001994
Chr01	3250000	0.001301
Chr01	3500000	0.001227
Chr01	3750000	0.00137
Chr01	4000000	0.00074
Chr01	4250000	0.00148
Chr01	4500000	0.001476
Chr01	4750000	0.001235
Chr01	5000000	0.00099
Chr01	5250000	0.000395
Chr01	5500000	0.000289
Chr01	5750000	0.000289
Chr01	6000000	0.002289
Chr01	6250000	0.002
Chr01	6500000	0.002
Chr01	6750000	0.002
Chr01	7000000	0
Chr01	7250000	0
Chr01	7500000	0.000697
Chr01	7750000	0.000697
Chr01	8000000	0.001314
Chr01	8250000	0.001626
Chr01	8500000	0.001305
Chr01	8750000	0.001743
Chr01	9000000	0.001833
Chr01	9250000	0.001811
Chr01	9500000	0.001733
Chr01	9750000	0.001295
Chr01	10000000	0.000875
Chr01	10250000	0.000585
Chr01	10500000	0.000563
Chr01	10750000	0.000614
Chr01	11000000	0.000327
Chr01	11250000	0.000669
Chr01	11500000	0.000729
Chr01	11750000	0.001021
Chr01	12000000	0.001099
Chr01	12250000	0.001141
Chr01	12500000	0.001112
Chr01	12750000	0.002901
Chr01	13000000	0.002823
Chr01	13250000	0.003366
Chr01	13500000	0.004906
Chr01	13750000	0.002774
Chr01	14000000	0.002962
Chr01	14250000	0.002277
Chr01	14500000	0.000846
Chr01	14750000	0.000934
Chr01	15000000	0.001712
Chr01	15250000	0.00147
Chr01	15500000	0.001383
Chr01	15750000	0.001295
Chr01	16000000	0.000441
Chr01	16250000	0.000716
Chr01	16500000	0.00044
Chr01	16750000	0.000729
Chr01	17000000	0.007029
Chr01	17250000	0.006826
Chr01	17500000	0.006906
Chr01	17750000	0.006988
Chr01	18000000	0.001665
Chr01	18250000	0.002028
Chr01	18500000	0.002099
Chr01	18750000	0.001793
Chr01	19000000	0.000704
Chr01	19250000	0.000796
Chr01	19500000	0.00069
Chr01	19750000	0.000915
Chr01	20000000	0.001038
Chr01	20250000	0.000511
Chr01	20500000	0.00058
Chr01	20750000	0.00029
Chr01	21000000	0.00024
Chr01	21250000	0.001471
Chr01	21500000	0.001304
Chr01	21750000	0.005262
Chr01	22000000	0.007164
Chr01	22250000	0.005933
Chr01	22500000	0.006268
Chr01	22750000	0.002632
Chr01	23000000	0.001368
Chr01	23250000	0.001368
Chr01	23500000	0.001296
Chr01	23750000	0.001774
Chr01	24000000	0.001063
Chr01	24250000	0.002495
Chr01	24500000	0.002527
Chr01	24750000	0.002325
Chr01	25000000	0.002756
Chr01	25250000	0.001787
Chr01	25500000	0.001944
Chr01	25750000	0.002037
Chr01	26000000	0.002061
Chr01	26250000	0.001598
Chr01	26500000	0.001146
Chr01	26750000	0.000614
Chr01	27000000	0.000355
Chr01	27250000	0.000738
Chr01	27500000	0.001157
Chr01	27750000	0.001343
Chr01	28000000	0.001535
Chr01	28250000	0.00153
Chr01	28500000	0.001696
Chr01	28750000	0.001351
Chr01	29000000	0.001143
Chr01	29250000	0.00106
Chr01	29500000	0.000475
Chr01	29750000	0.000879
Chr01	30000000	0.001358
Chr01	30250000	0.001063
Chr01	30500000	0.001063
Chr01	30750000	0.000659
Chr01	31000000	0
Chr01	31250000	0.00018
Chr01	31500000	0.00068
Chr01	31750000	0.001013
Chr01	32000000	0.001675
Chr01	32250000	0.002212
Chr01	32500000	0.001712
Chr01	32750000	0.001752
Chr01	33000000	0.00109
Chr01	33250000	0.000692
Chr01	33500000	0.000692
Chr01	33750000	0.000319
Chr01	34000000	0.000319
Chr01	34250000	0.000264
Chr01	34500000	0.000264
Chr01	34750000	0.000419
Chr01	35000000	0.000419
Chr01	35250000	0.00031
Chr01	35500000	0.00031
Chr01	35750000	0.000609
Chr01	36000000	0.001207
Chr01	36250000	0.001052
Chr01	36500000	0.001052
Chr01	36750000	0.000759
Chr01	37000000	0.000161
Chr01	37250000	0.000161
Chr01	37500000	0.000161
Chr01	37750000	0
Chr01	38000000	0
Chr01	38250000	0.000187
Chr01	38500000	0.000628
Chr01	38750000	0.000628
Chr01	39000000	0.000628
Chr01	39250000	0.000441
Chr01	39500000	7.6e-05
Chr01	39750000	7.6e-05
Chr01	40000000	7.6e-05
Chr01	40250000	0.000297
Chr01	40500000	0.000221
Chr01	40750000	0.001111
Chr01	41000000	0.001356
Chr01	41250000	0.001374
Chr01	41500000	0.001925
Chr01	41750000	0.001035
Chr01	42000000	0.000965
Chr01	42250000	0.000726
Chr01	42500000	0.000175
Chr01	42750000	0.000175
Chr01	43000000	0
Chr01	43250000	0
Chr01	43500000	0.000781
Chr01	43750000	0.000781
Chr01	44000000	0.000781
Chr01	44250000	0.000781
Chr01	44500000	0.000117
Chr01	44750000	0.000117
Chr01	45000000	0.000117
Chr01	45250000	0.000387
Chr01	45500000	0.000512
Chr01	45750000	0.001182
Chr01	46000000	0.001182
Chr01	46250000	0.001154
Chr01	46500000	0.000912
Chr01	46750000	0.000364
Chr01	47000000	0.000364
Chr01	47250000	0.000549
Chr01	47500000	0.002121
Chr01	47750000	0.002728
Chr01	48000000	0.003486
Chr01	48250000	0.003986
Chr01	48500000	0.00347
Chr01	48750000	0.002792
Chr01	49000000	0.002433
Chr01	49250000	0.001894
Chr01	49500000	0.001258
Chr01	49750000	0.00152
Chr01	50000000	0.001299
Chr01	50250000	0.000911
Chr01	50500000	0.00108
Chr01	50750000	0.000924
Chr01	51000000	0.000995
Chr01	51250000	0.001857
Chr01	51500000	0.001401
Chr01	51750000	0.001244
Chr01	52000000	0.001409
Chr01	52250000	0.001179
Chr01	52500000	0.001381
Chr01	52750000	0.001481
Chr01	53000000	0.001067
Chr01	53250000	0.001101
Chr01	53500000	0.000766
Chr01	53750000	0.000915
Chr01	54000000	0.000915
Chr01	54250000	0.000954
Chr01	54500000	0.0014
Chr01	54750000	0.001248
Chr01	55000000	0.001524
Chr01	55250000	0.001302
Chr01	55500000	0.000856
Chr01	55750000	0.000907
